Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
129	0	128	7	Hebrew	וַיַּבְדֵּ֗ל	וַיַּבְדֵּ֗ל	way·yaḇ·dêl	Conj-w | V-Hifil-ConsecImperf-3ms	Conjunctive waw | Verb - Hifil - Consecutive imperfect - third person masculine singular	914								 and separated 				
130	0	129	7	Hebrew	בֵּ֤ין	בֵּ֤ין	bên	Prep	Preposition	996								 . . . 				
131	0	130	7	Hebrew	הַמַּ֙יִם֙	הַמַּ֙יִם֙	ham·ma·yim	Art | N-mp	Article | Noun - masculine plural	4325								 the waters 				
132	0	131	7	Hebrew	אֲשֶׁר֙	אֲשֶׁר֙	’ă·šer	Pro-r	Pronoun - relative	834								 - 				
133	0	132	7	Hebrew	מִתַּ֣חַת	מִתַּ֣חַת	mit·ta·ḥaṯ	Prep-m	Preposition-m	8478								 beneath 				
134	0	133	7	Hebrew	לָרָקִ֔יעַ	לָרָקִ֔יעַ	lā·rā·qî·a‘	Prep-l, Art | N-ms	Preposition-l, Article | Noun - masculine singular	7549								 [it] 				
135	0	134	7	Hebrew	וּבֵ֣ין	וּבֵ֣ין	ū·ḇên	Conj-w | Prep	Conjunctive waw | Preposition	996								 from 				
136	0	135	7	Hebrew	הַמַּ֔יִם	הַמַּ֔יִם	ham·ma·yim	Art | N-mp	Article | Noun - masculine plural	4325								 the waters 				
137	0	136	7	Hebrew	אֲשֶׁ֖ר	אֲשֶׁ֖ר	’ă·šer	Pro-r	Pronoun - relative	834								 - 				
138	0	137	7	Hebrew	מֵעַ֣ל	מֵעַ֣ל	mê·‘al	Prep-m	Preposition-m	5921								 above 				
139	0	138	7	Hebrew	לָרָקִ֑יעַ	לָרָקִ֑יעַ	lā·rā·qî·a‘	Prep-l, Art | N-ms	Preposition-l, Article | Noun - masculine singular	7549								 - 	.			
140	0	139	7	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961								 And it was 				
141	0	140	7	Hebrew	כֵֽן׃	כֵֽן׃	ḵên	Adv	Adverb	3651								 so 	.			
153	0	151	8	Hebrew	אֱלֹהִ֛ים	אֱלֹהִ֛ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:8						 God 				
152	0	152	8	Hebrew	וַיִּקְרָ֧א	וַיִּקְרָ֧א	way·yiq·rā	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	7121								 called 				
154	0	153	8	Hebrew	לָֽרָקִ֖יעַ	לָֽרָקִ֖יעַ	lā·rā·qî·a‘	Prep-l, Art | N-ms	Preposition-l, Article | Noun - masculine singular	7549								 the expanse 				
155	0	154	8	Hebrew	שָׁמָ֑יִם	שָׁמָ֑יִם	šā·mā·yim	N-mp	Noun - masculine plural	8064							“	 sky 	.	”		
156	0	155	8	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961					<p class=|tab1stline|>			 And there was 				
157	0	156	8	Hebrew	עֶ֥רֶב	עֶ֥רֶב	‘e·reḇ	N-ms	Noun - masculine singular	6153								 evening 	,			
158	0	157	8	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961								 and there was 				
159	0	158	8	Hebrew	בֹ֖קֶר	בֹ֖קֶר	ḇō·qer	N-ms	Noun - masculine singular	1242								 morning 	 — 			
161	0	159	8	Hebrew	שֵׁנִֽי׃פ	שֵׁנִֽי׃פ	šê·nî	Number-oms	Number - ordinal masculine singular	8145								 the second 				
160	0	160	8	Hebrew	י֥וֹם	י֥וֹם	yō·wm	N-ms	Noun - masculine singular	3117								 day 	.			
513652	0	506993	21898	Aramaic	הִתְרוֹמַ֡מְתָּ	הִתְרוֹמַ֡מְתָּ	hiṯ·rō·w·mam·tā	V-Hitpael-Perf-2ms	Verb - Hitpael - Perfect - second person masculine singular	7313		Daniel 5:23						 Instead, you have exalted 				
513649	0	506994	21898	Aramaic	וְעַ֣ל	וְעַ֣ל	wə·‘al	Conj-w | Prep	Conjunctive waw | Preposition	5922								 yourself against 				
